Name,Condition,Price,Shipping Cost,Location,Total Sold,Seller
Shop on eBay,Brand New,$20.00,N/A,N/A,N/A,N/A
Shop on eBay,Brand New,$20.00,N/A,N/A,N/A,N/A
"CHEAP 19"" 22"" 24"" PC COMPUTER MONITOR VGA FLAT SCREEN DISPLAY MAJOR BRANDS LEADS",Pre-Owned,$23.45 to $32.63,+$178.11 shipping estimate,from United Kingdom,"1,665+ sold","kel-tel (28,413) 99.4%"
"Dual Monitor Full HD 1080p 2 x 24"" +New Stand  Screen Home Office Monitor Bundle",Very Good - Refurbished,$129.82,+$163.67 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"Dual Monitor Full HD 1080p 2 x 22""+New Stand  Screen Home Office Monitor",Pre-Owned,$91.78,+$162.35 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"Dual Monitor Bundle 1920x1200 2x24"" +New Stand  Screen Home Office VGA DVI DP",Very Good - Refurbished,$144.24,+$164.15 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"New ListingLG 27"" UltraFine™ 5K IPS LED Monitor",Parts Only,$156.05,+$141.14 shipping estimate,from United Kingdom,N/A,mszudr (59) 100%
"LG 29"" Monitor 29UB67-B 2560x1080 21:9 5ms IPS LCD Monitor DVI DP HDMI•No Stand ",Pre-Owned,$62.66,+$150.93 shipping,from United States,N/A,"epc-pa (9,225) 99.8%"
"Viotek 24"" LED Curved Gaming Monitor 75hz 1080p 8ms, HDMI, VGA NBV24CB2",Excellent - Refurbished,$68.99,+$130.30 shipping,from United States,59 sold,"hypermicrosystems (69,305) 99.4%"
PC MONITOR,Pre-Owned,$60.00,+$5.00 shipping,from Greece,N/A,stemshop (1) 100%
Dell 24in LCD 1920 x 1080 FHD Monitor for Desktop Computer PC Grade A,Pre-Owned,$50.95,+$102.78 shipping,from United States,867 sold,"discountcomputerdepot (120,902) 98.4%"
Portable Monitor 15.6'' FHD 1080P Ultra-Slim IPS Display w/Smart Cover & Speaker,Brand New,$69.99,+$59.18 shipping,from United States,259 sold,petpuro (91) 98.9%
"IIyama prolite E2280WSD 22"" LED Monitor with HDMI speakers 90 Day warranty!",Pre-Owned,$30.15,+$117.44 shipping estimate,from United Kingdom,N/A,"easytrading13 (1,133) 100%"
New ListingSamsung Odyssey OLED G8 34 in 3440 x 1440 Monitor - LS34BG850SNXZA,Open Box,$400.00,+$88.27 shipping,from United States,N/A,milcus96 (43) 96.2%
"Dual Monitor 1080p Full HD 2 x 22""+ New Stand Screen Home Office Monitor",Good - Refurbished,$104.89,+$186.16 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"2 x Samsung c24f390fhu 24"" Curved HDMI Screen Full HD 1920 x 1080",Pre-Owned,$131.14,+$145.97 shipping estimate,from United Kingdom,N/A,"york_tech (1,080) 100%"
"Dual Monitor Full HD 1080p 2 x 22"" + New Stand  Screen Monitor Bundle Grade C",Pre-Owned,$78.67,+$150.12 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"DUAL HP PC Monitor Bundle 48"" 2 x 24"" 1920 x 1200 DVI VGA DP + New Dual Stand",Very Good - Refurbished,$131.11,+$175.85 shipping estimate,from United Kingdom,7 sold,"specola (94,887) 99.7%"
"VIOTEK 27"" 165hz 1920x1080p FHD w/Speakers Curved Gaming Monitor 3000:1 FreeSync",Brand New,Tap item to see current priceSee price,+$252.93 shipping,from United States,N/A,"claimthis (105,480) 94.4%"
"15.6"" Portable Monitor 300 cd/m² Screen USB C Display HDMI 1920*1080 1200:1 Used",Pre-Owned,$47.69,+$73.27 shipping,from United States,185 sold,eviciv_pc_store (519) 99.5%
LG UltraGear 27” Inch Widescreen FHD Gaming Computer Monitor 165Hz - 27GQ40W-B,Open Box,$99.99,+$136.44 shipping,from United States,N/A,mogulstock (71) 98.6%
Dell UP2716D Ultrasharp 27 in LED Monitor QHD 2560 x 1440 HDMI USB 3.0 No Stand,Good - Refurbished,$170.46,+$76.02 shipping estimate,from United Kingdom,63 sold,"rebuyer_uk (4,495) 99.5%"
"15.6"" AOC I1601FWUX 156LM00007 1920x1080 USB-C LCD Portable Monitor",Pre-Owned,$35.97,+$77.71 shipping,from United States,N/A,"epc-pa (9,225) 99.8%"
"Lepow Lite H1 14"" Monitor 15.6” Portable Type C Gaming Monitor For Laptop iPhone",Open Box,$49.99,+$58.59 shipping,from United States,N/A,"electronic-63 (3,688) 98.2%"
"CHEAP 19"" 20"" 24"" PC COMPUTER MONITOR VGA FLAT SCREEN DISPLAY MAJOR BRANDS",Good - Refurbished,$26.21 to $59.00,+$111.25 shipping estimate,from United Kingdom,117+ sold,"birmingham-av (10,072) 98.9%"
"11.6"" Triple Portable Laptop Monitor 1080P FHD IPS 60Hz Screen Panel Detachab",Brand New,$129.99,+$65.95 shipping,from United States,N/A,ebart90 (577) 98.4%
"SAMSUNG 32"" Class Curved Full HD (1,920 x 1,080) Monitor - LC32R500FHNXZA",Pre-Owned,$115.00,+$252.78 shipping,from United States,N/A,"er-rushus (2,687) 99.6%"
"Onn 22"" Inch Full HD Desktop Computer Monitor HDMI VGA 60hz Refresh 6.5ms 1080p",Open Box,$27.40,+$114.03 shipping,from United States,223 sold,"karmaelectronics (5,138) 98.6%"
Dell 19in LCD 60HZ FHD Monitor for Desktop Computer PC Grade B,Pre-Owned,$29.99,+$102.16 shipping,from United States,80 sold,"discountcomputerdepot (120,902) 98.4%"
Computer Monitor 22 Inch FHD 1080P Thin LED Monitor Built-in Speaker Eye Care,Brand New,$57.99,+$102.99 shipping,from United States,93 sold,"securitysupplycompany (4,009) 99.6%"
"Dual Monitor Full HD 1080p 2 x 22"" +New Stand  Screen Home Office Monitor Bundle",Very Good - Refurbished,$104.89,+$162.80 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"Dual 24"" PC Monitor Bundle 2x24"" FULL HD HDMI + Dual Stand GRADE B",Pre-Owned,$144.22,+$156.58 shipping estimate,from United Kingdom,57 sold,"specola (94,887) 99.7%"
"Dual Monitor Screen Setup 46"" 2x23"" 1920x1080 HP E231 DVI DP LED New Dual Stand",Very Good - Refurbished,$137.67,+$163.93 shipping estimate,from United Kingdom,149 sold,"specola (94,887) 99.7%"
"Benq Dual PC Monitor Screen Bundle 2x22"" Frameless HDMI Home Office + Stand",Very Good - Refurbished,$144.22,+$152.38 shipping estimate,from United Kingdom,N/A,"specola (94,887) 99.7%"
"LG 29UM68-P 29"" FHD 21:9 UltraWide IPS LED 2560 x 1080 Monitor Grade B 639879",Pre-Owned,$91.79,+$132.16 shipping estimate,from United Kingdom,154 sold,"refreshed_by_us (25,509) 99.7%"
"ONN 24"" Inch Full HD Gaming Desktop Computer Monitor 165 Hz 1ms HDMI Freesync",Open Box,$81.31,+$130.66 shipping,from United States,84 sold,"karmaelectronics (5,138) 98.6%"
