Product Name,Specifications,Original Price,Discounted Price,Discount Percentage,Rating,Review
HP (15s-fq5007TU) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5327TU Thin a...,N/A,"₹51,134","₹35,990",N/A,4.2,"5,545 Ratings & 476 Reviews"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,N/A,"₹69,990","₹39,999",N/A,4.2,"3,114 Ratings & 159 Reviews"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,N/A,"₹43,999","₹23,490",N/A,4.2,"9,987 Ratings & 759 Reviews"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,N/A,"₹43,000","₹25,990",N/A,4.2,"1,002 Ratings & 73 Reviews"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,N/A,"₹62,526","₹49,999",N/A,4.2,"3,414 Ratings & 180 Reviews"
SAMSUNG Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,N/A,"₹57,499","₹37,990",N/A,4.6,149 Ratings & 19 Reviews
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,N/A,"₹99,900","₹79,999",N/A,4.7,"10,487 Ratings & 629 Reviews"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,N/A,"₹51,266","₹34,990",N/A,4.3,"4,606 Ratings & 284 Reviews"
ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK321...,N/A,"₹61,990","₹34,990",N/A,4.4,"2,508 Ratings & 274 Reviews"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,N/A,"₹93,999","₹54,990",N/A,4.3,"3,044 Ratings & 261 Reviews"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,N/A,"₹69,890","₹49,190",N/A,4.1,599 Ratings & 19 Reviews
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,N/A,"₹70,990","₹45,990",N/A,4.3,571 Ratings & 53 Reviews
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",N/A,"₹73,990","₹45,990",N/A,4.2,"3,114 Ratings & 159 Reviews"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",N/A,"₹54,990","₹30,990",N/A,4.3,"5,571 Ratings & 423 Reviews"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,N/A,"₹30,790","₹13,990",N/A,3.7,258 Ratings & 14 Reviews
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-071IN Thi...,N/A,"₹62,990","₹34,990",N/A,4.3,"2,395 Ratings & 279 Reviews"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin an...,N/A,"₹66,090","₹46,190",N/A,4.1,599 Ratings & 19 Reviews
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/256 GB SSD/Windows 11 Home) HeroBook Pro Laptop,N/A,"₹34,990","₹15,990",N/A,3.7,802 Ratings & 93 Reviews
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,N/A,"₹47,990","₹27,990",N/A,4.3,981 Ratings & 104 Reviews
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,N/A,"₹69,990","₹39,999",N/A,4.2,"3,114 Ratings & 159 Reviews"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,N/A,"₹67,990","₹42,990",N/A,4.3,571 Ratings & 53 Reviews
Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home) 16IRL8 Laptop,N/A,"₹1,25,890","₹80,190",N/A,4.3,122 Ratings & 6 Reviews
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,N/A,"₹53,000","₹35,990",N/A,4,735 Ratings & 45 Reviews
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,N/A,"₹48,286","₹28,999",N/A,4.2,"4,754 Ratings & 417 Reviews"
